tconst	primary_title	title_type	start_year	averageRating	genre
tt15230512	NON ROWDY	movie	2023	9.9	Action
tt19353052	Lesbian Sleepover	movie	2020	9.5	Adult
tt14391292	Mr. Local Man	movie	2019	10.0	Adventure
tt28181777	Caminos a ninguna parte	movie	2023	9.8	Animation
tt21147496	Der letzte Ketzer	movie	2022	10.0	Biography
tt28073182	Vinnie's Vantastic Rock N Roll Adventure	movie	2023	10.0	Comedy
tt12580110	Tyler	movie	2023	9.9	Crime
tt19885536	Name of the Game	movie	2023	10.0	Documentary
tt21974160	Homeboys	movie	2023	10.0	Drama
tt15679698	Killer Witches from Outer Space	movie	2023	10.0	Family
tt22037984	Silber und das Buch der Träume	movie	2023	10.0	Fantasy
tt21147496	Der letzte Ketzer	movie	2022	10.0	History
tt14909408	Algea: God of Pain	movie	2023	10.0	Horror
tt11870758	Love Live! Series 9th Anniversary LOVE LIVE! FEST	movie	2020	10.0	Music
tt28073182	Vinnie's Vantastic Rock N Roll Adventure	movie	2023	10.0	Musical
tt13088688	Happy Hacker's Day	movie	2023	10.0	Mystery
tt21139706	Prince Oak Oakleyski and News Interviewers	movie	2022	9.9	News
tt12454598	Rutas del más allá: El documental	movie	2020	10.0	Reality-TV
tt16992590	Nochebuena	movie	2023	9.9	Romance
tt25434542	Dvandva	movie	2023	9.6	Sci-Fi
tt26345008	Go On, Be Brave	movie	2023	10.0	Sport
tt12312374	Oh no! The Rise of Skywalker was real bad	movie	2019	9.4	Talk-Show
tt11261302	Unlucky to Love You	movie	2023	10.0	Thriller
tt14521368	The Oath of Cyriac	movie	2021	9.9	War
tt19778810	Kiru	movie	2022	9.8	Western
