start_year	avg_rating	avg_num_votes
1987	5.599999904632568	4689.0
1991	6.400000095367432	886.0
1992	8.300000190734863	533954.5
1994	8.399999856948853	1115280.0
1995	7.199999809265137	55120.5
1997	7.5	366218.0
2000	7.699999809265137	87424.0
2003	7.349999904632568	592170.0
2004	7.549999952316284	394921.0
2005	8.333333333333334	264265.3333333333
2006	8.699999809265137	15454.0
2007	7.25	248675.0
2009	8.399999618530273	1540396.0
2012	8.5	1651036.0
2015	7.800000190734863	642587.0
2019	7.599999904632568	810297.0
