genre	region	avg_rating	total_votes
Short	AE	7.369191915097863	166797
Sport	AF	8.5	15
War	AL	7.721621642241606	386601
Talk-Show	AM	8.800000190734863	5
Documentary	AR	7.109345802146698	6851329
Documentary	AT	7.223516490782574	1373567
Documentary	AU	7.22599578678852	14084362
History	AZ	7.5090908787467265	2860459
Short	BD	7.861194041237902	39180
Documentary	BE	7.159421576626149	811657
Horror	BF	7.266666571299235	206470
News	BG	7.814285618918283	231293
Short	BJ	9.25	20
Music	BO	7.400000095367432	696105
Documentary	BR	7.217340077274175	13055653
Talk-Show	BY	9.199999809265137	602
Short	BZ	7.650000095367432	36
Documentary	CA	7.217271302451984	26269836
Biography	CG	9.0	13
Film-Noir	CH	7.762500047683716	431361
Documentary	CL	7.221531081712987	669048
Sport	CM	8.800000190734863	319148
Film-Noir	CN	7.536585424004532	1847541
Documentary	CO	7.262247864038868	657239
News	CR	9.199999809265137	18
Reality-TV	CSHH	8.199999809265137	54
Film-Noir	CZ	7.401694928185415	2593828
News	DDDE	7.199999809265137	10
History	DE	7.356743221433586	39651933
Biography	DK	6.845174052009854	32329738
Talk-Show	DZ	9.399999618530273	10
History	EC	7.311545307640496	20647255
Talk-Show	EE	7.699999809265137	81647
Film-Noir	EG	7.7777778307596845	971821
Documentary	ES	7.387785816661608	13924325
History	ET	8.299999952316284	46
Documentary	FI	7.022612667614554	9102799
History	FR	7.328437698996176	36330789
Documentary	GB	7.152864605430089	20913790
War	GE	7.708571461268834	3562096
Documentary	GR	7.284740699395696	11261098
Film-Noir	HK	7.66923082791842	1103174
News	HR	7.799999972184499	234379
Documentary	HU	7.24538866515995	10019255
Short	ID	7.241346133443026	199526
Documentary	IE	7.448557219813712	1826070
Film-Noir	IL	7.629629717932807	1795722
Short	IN	7.726662633689072	909047
Sci-Fi	IQ	8.133333365122477	44
Film-Noir	IR	7.334375016391277	1263125
Talk-Show	IS	8.333333333333334	55
Documentary	IT	7.4393699380771725	13100786
Drama	JE	""	""
Reality-TV	JM	8.0	9
Sport	JO	8.799999713897705	56
Documentary	JP	7.489485120334538	14611042
Game-Show	KR	7.772100852116817	371497
Reality-TV	KZ	7.900000095367432	13
News	LA	8.199999809265137	49
Biography	LB	7.777272722937844	82697
Talk-Show	LK	9.199999809265137	13
Film-Noir	LT	7.813043552896251	1879021
Western	LU	8.5	1651036
Reality-TV	LV	9.399999618530273	5
Short	MA	7.540322572954239	1264
Talk-Show	MK	9.699999809265137	6
Documentary	MX	7.187399360196794	9043908
Documentary	MY	7.679069807363111	197706
Music	MZ	8.100000381469727	63
Talk-Show	NG	9.699999809265137	15
Documentary	NL	7.3157430831070815	7089297
News	NO	7.165909127755598	242214
Game-Show	NP	9.100000381469727	11
Documentary	NZ	7.420788043057141	1481627
Talk-Show	PA	8.5	132
News	PE	7.8999998569488525	84770
Documentary	PH	7.085020813355554	6977936
Talk-Show	PK	8.540000009536744	197
Documentary	PL	7.066923193006039	13158740
Western	PR	8.800000190734863	795284
Documentary	PT	7.629764857600526	5809225
Music	PY	9.100000381469727	16
Documentary	RO	7.301366998068793	3486185
Talk-Show	RS	7.753333314259847	182149
Documentary	RU	7.200031624370235	15283029
Fantasy	SD	9.300000190734863	10
Documentary	SE	7.0805741317432505	9567016
Film-Noir	SG	7.443902475077931	1783073
Talk-Show	SI	8.800000190734863	25
Film-Noir	SK	7.605555613835652	1306411
News	SN	9.100000381469727	73
Short	SR	6.599999904632568	102
Documentary	SUHH	6.980525173165344	1316836
Film-Noir	TH	7.7000000953674315	582659
Talk-Show	TJ	9.199999809265137	602
News	TN	8.300000190734863	52
Documentary	TR	7.092794132583282	7519368
Film-Noir	TW	7.793750092387199	2215983
Biography	UA	7.735639001148335	68788544
History	US	7.078904839395756	52260119
Film-Noir	UY	7.320895515271087	1886018
Game-Show	VE	7.149999976158142	847
Adult	VG	6.400000095367432	20
Film-Noir	VN	7.769230769230769	958340
Game-Show	XAS	7.8750001192092896	11340
Documentary	XEU	7.183404261000613	240316
Drama	XNA	7.400000095367432	200
Short	XSA	7.857142857142857	378
Game-Show	XWG	7.067441862682964	1871
Documentary	XWW	7.082318622283423	4527987
Game-Show	XYU	9.0	6
Animation	YE	9.0	62
Documentary	YUCS	7.767857210976737	1428
Documentary	ZA	7.165932756648052	6586076
Action	ZM	8.800000190734863	7
